Modelo,Descripcion,Fabricante,CalibracionInterna
"CD-12"" PMX",DIG. VERNIER,MITUTOYO,True
"CD-8""ASX",DIG. CALIPER,MITUTOYO,True
193-211,MICROMETRO ANALOGO,MITUTOYO,True
293-721-10,DIG. MICROMETRO,MITUTOYO,True
7074211,DIG. MICROMETRO,MITUTOYO,True
323-711-10,MICROMETRO DIG,MITUTOYO,True
"CD-6""CS",DIG. CALIPER,MITUTOYO,True
293-765-30,MICROMETRO DIG,MITUTOYO,True
500-196,DIG. CALIPER,MITUTOYO,True
293-344,MICROMETRO DIG.,MITUTOYO,True
505-627-50,CALIPER ANALOGO,MITUTOYO,True
"CD 6"" CSX",DIG. CALIPER,MITUTOYO,True
"CD-6""CSX",DIG. CALIPER,MITUTOYO,True
"CD-8"" CSX",DIG. CALIPER,MITUTOYO,True
54-850/860,DIG. CALIPER,FOWLER,True
850,micrometrro,fowler,True
IP-65,Micrometro dig.,Mitutoyo,True
"CSX-6""",DIG. CALIPER,MITUTOYO,True
"CSX6""",DIG. CALIPER,MITUTOYO,True
"CSX-12""",DIG. CALIPER,MITUTOYO,True
CD-6 ASX,DIG. CALIPER,MITUTOYO,True
"CD-8"" ASX",DIG. CALIPER,MITUTOYO,True
543-564A,DIG. INDICADOR,MITUTOYO,True
"CD-8""CS",VERNIER DIGITAL,MITUTOYO,True
"MDC-1"" M",MICROMETRO DIGITAL,MITUTOYO,True
HDS-18,ALTIMETRO,MITUTOYO,True
112-225,Micrometro de puntas,MITUTOYO,True
293-715,MICROMETRO DIGITAL,MITUTOYO,True
422-341,MICROMETRO DIG BLADE,MITUTOYO,True
CD-8 CSX,VERNIER DIG.,MITUTOYO,True
210,MICROMETRO ANALOGO,STARRETT,True
263R,Micrometro de profundidad,STARRETT,True
"CD-8"" CS",VERNIER DIGITAL,MITUTOYO,True
"CD-8""-CS",VERNIER DIGITAL,MITUTOYO,True
IP65,MICROMETRO DE PUNTAS,MITUTOYO,True
"CD-8""CSX",VERNIER DIG.,MITUTOYO,True
192-656,ALTIMETRO,MITUTOYO,True
293-722-30,MICORMETRO DIG.,MITUTOYO,True
121-355,Super micrometro (dig),MITUTOYO,True
440,MICROMETRO DE PROFUNDIDAD,STARRET,True
445,MICROMETRO DE PROFUNDIADSTARRET,STARRET,True
256,MICROMETRO DE DISCO,STARRETT,True
"CD 8"" CSX",DIG.CALIPER,MITUTOYO,True
"CD-08""CSX",VERNIER DIGITAL,MITUTOYO,True
"CD-6"" CS",VERNIER DIGITAL,MITUTOYO,True
CD-8'ASX,DIGITAL CALIPER,MITUTOYO,True
CD-6CSX,DIG. CALIPER,MITUTOYO,True
"0 A 8""ASX",DIG. CALIPER,MITUTOYO,True
"MDC-1""SX",MICROMETRO DIG.,MITUTOYO,True
CD 6 ASX,DIG. CALIPER,MITUTOYO,True
"8"" asx",DIG. CALIPER,MITUTOYO,True
"CD-8""AXWW",DIGITAL CALIPER,MITUTOYO,True
"CD 6"" ASX",DIG. CALIPER,MITUTOYO,True
"CD8""- ASX",CALIPER  DIG,MITUTOYO,True
"CD-12""",DIG. CALIPER,MITUTOYO,True
"CD 8""ASX",DIGITAL CALIPER,MITUTOYO,True
"CD 8"" ASX",DIG. VERNIER,MITUTOYO,True
"CD-8""asx",DIG. CALIPER,MITUTOYO,True
"CD 6""ASX",DIG. CALIPER,MITUTOYO,True
CD-8' ASX,DIGITAL VERNIER,MITUTOYO,True
CN29383130,DIG. MICROMETRO,MITUTOYO,True
CD-24-C,DIG CALIPER,MITUTOYO,False
"CD-8""AXS",DIGITAL CALIPER,MITUTOYO,True
DEI-13111,DIG. INDICADOR,FEDERAL CORP.,True
ID-F150HE,DIG. INDICADOR,MITUTOYO,True
2416F,DIAL INDICADOR,MITUTOYO,True
ID-U1025E,DIG. INDICADOR,MITUTOYO,True
ID-S1012EB,INDICADOR DIGITAL,MITUTOYO,True
2781-08,DIAL INDICADOR,MITUTOYO,True
AG 698,DIAL INDICADOR,AMES,True
AG698,DIAL INDICADOR,AMES,True
D6Q,DIAL INDICADOR,FEDERAL,True
2-C100-250,DIAL INDICAADOR,FEDERAL,True
543-111,DIG. INDICADOR,MITUTOYO,True
384,DIAL INDICADOR,AMES,True
543-272,DIG. INDICADOR,MITUTOYO,True
ID-F125E,DIG. INDICADOR,MITUTOYO,True
1411,DIAL INDICADOR,MITUTOYO,True
2410F,DIAL INDICADOR,MITUTOYO,True
ID-C112XB,DIG.DIAL INDICADOR,MITUTOYO,True
ID150ME,DIG. INDICAADOR,MITUTOYO,True
85002,DIAL INDICADOR,PRECISION BRAND,True
ID-C112E,DIAL INDICADOR,MITUTOYO,True
ID-C112T,DIAL INDICADOR,MITUTOYO,True
C70,DIAL INDICADOR,FEDERAL,True
1086R,DIG. INDICADOR,MAHR GMBH-ESSLI,True
ID-01050EX,DIG. INDICADOR,MITUTOYO,True
ID-C150EXB,DIG. INDICADOR,MITUTOYO,True
ID-C105EXB,DIG. INDICADOR,MITUTOYO,True
IDS1012EXB,DIG. INDICADOR,MITUTOYO,True
PT-100,WIRE CRIM PULL TEST,ALPHATRON,False
WT3-201M,DIG. FORCE GAGE,MARK-10,False
DPP-5,FORCE GAGE,CHATILLON,False
DPP-25,FORCE GAGE,CHATILLON,False
DFI50,FORCE GAGE,CHATILLON,False
DFA-R-10,CELDA DE FUERZA,CHATILLON,True
FDK-60,FORCE GAGE,WARNER,False
30,FORCE GAGE,WAGNER,False
DPP-160,FORCE GAGE,CHATILLON,False
DPP-10,FORCE GAGE,CHATILLON,False
DRC 100,DIGITAL FORCE GAGE,CHATILLON,True
ET1100,TENSIOMETRO,CHATILLON,False
MST-250LBS,SPRIN TESTER,CHATILLON,False
DFM500,FORCE GAGE,CHATILLON,False
LCCA-3K,CELDA DE FUERZA,OMEGA,False
DM-34-NM,TORQUEMETER,STURTEVANT,True
BF035,TORQUE DESARMADOR,MOUNTZ,True
0 A 15 LBS,TORQUEMETER,SNAP-ON,False
651C-3,TORQUEMETER,WATERS,False
651X-4,TORQUEMETER,WATERS,False
TT500,TORQUEMETER,Torque leader,False
30-D,TORQUEMETER,CRANE,False
651C2,TORQUEMETER,WATERS,False
TL- SERIES,TORQUE ANALIZER,MOUNTZ,False
6PAF3,TORQUETESTER,WESTWARD,True
FEI,DYNANOMETRO,ALIMED INC,False
SKD-B1000L,T0RQUE,KLEWS INDUSTRIA,False
F-25-1,TORQUE WRENCH,STURTEVANT,False
TORQUE IVC,TORQUEMETER,CRANE,False
HHT035,TORUE METER,OMEGA,False
151LDN,TORQUEMETER,CDI TORQUE PROD,False
1502DIN,TORQUE METER,CDI TORQUE PRDO,False
751DIN,TORQUEMETER,CDI TORQUE PROD,False
SSI,CELDA DE TORQUE,TRAN. TECHNIQUE,False
MD501,TORQUE,STURTEVANT/RICH,False
J6121F,TORQUE,PROTO,False
1502LDIN,TORQUE,CDI,True
751LDIN,TORQUE,CDI,False
DB-1501-3A,DIAL  TORQUEMETER,TOHNICHI,False
MTWD135,TORQUEMETER,MOUNTZ,False
10T-ICDI,TORQUE WRENCH,,False
SK T0765,TORQUE WRENCH,,False
ASG-SD2500,TORQUE,ASG,False
1002CF3,TORQUE METER/MANUAL,COMPUTORQ,False
LTT,TORQUEMETER,MOUNTS,False
900-385,HARDNESS TESTER/DUROMETRO,PHASEII,False
TIPO D,DUROMETRO,SHORE INSTRUMNE,False
TYPE A,DUROMETRO TIPO A,SHORE INSTRUMEN,False
1600,DUROMETRO,REX-DUROMETER,False
TYPE D-2,DUROMETRO,SHORE DUROMETER,False
B534T,HARDNESS TESTER,WILSON/ROCKWELL,False
MICRO DRIV,TACOMETRO,DART CONTROLS I,False
DFIS-200,SPRING TESTER,CHATILLON,False
DFS-R-ND,FORCE GAGE,CHATILLON,False
CS-12,Countin Scale,TRANSCELL,False
4284a,SCALE,TOLEDO,False
EP-40KB,DIG  SCALE,AND,False
2071,SCALE,TOLEDO,False
GP1800-G,DIG. SCALE,Sartorius,False
DC-80,DIG SCALE,DIGI-MATEX,False
QC64EDE-S,DIG. SCALE,SARTORIUS,False
CS-60,DIG. SCALE,TRANSCELL,False
350,DIG. SCALE,GSE,False
160,BASCULA ANALOGA,NUEVO LEON,False
GSE574,DI. SCALE,SCALE SYSTEM,False
SP601,DIG. SCALE,OHAUS,False
IQ620,BASCULA DIG,DIG.COUNTIN SCA,False
PS60,BASCULA DIG,TOLEDO,False
SIWADCP-2-,BASCULA DIG,SARTORIUS,False
SIWADCP-23,DIG. SCALE,SARTORIUS,False
SWADCP235,DIG. SCALE,SARTORIUS,False
SIWADCP235,DIG. SCALE,SARTORIUS,False
SCOUT,DIG. SCALE,OHAUS,False
PRACTUM 51,BASCULA DIG.,SARTORIUS,False
JCE-30K,BASCULA DIGITAL,ULINE,False
LP7510A,BAUSCULA DIG.,FLOOR SCALE,False
4010-88,BASULA DIG,SCALE RUBERMAID,False
ENTR 15620,BASCULA DIG.,SARTORIUS,False
Entris 220,BASCULA DIG.,SARTORIUS,False
IND231,BASCULA MOVIL DIGITAL,WESCO,False
ND231,BASCULA MOVIL DIGITAL (Mula),WESCO,False
H-2331,BASCULA DIGITAL MOVIL (MULA),ULINE,False
ENTRIS2202,BASCULA,SARTORIUS,False
ENTRIS323-,BASCULAS,SATORIUS,False
QC-5,BASCULA,TORREY,False
QC-20,BASCULA DIG.,TORREY,False
QC-20140,BASCULA DIG,TORREY,False
ENTRIS A32,BASCULA DIG.,SARTORIUS,False
ENTRIS 323,BASCULA DIG.,SARTORIUS,False
ENTRIS3231,BASCULA DIG.,SARTORIUS,False
MIRAS 2,BASCULA DIG,SARTORIUS,False
QC20/40,BASCULA DIG.,TORREY,False
7808,BASCULA DIG.,AVERY WEIGHT TR,False
22021-S,BASCULA DIGITAL,ENTRIS,False
WI-125,DIG. SCALE,WEIGH TRONIX,False
ZM303-SD2,BASCULA DIG. FLAJEDORA,Avery Weigh- tr,False
ZM-303-SD2,BASCULA DIG. FLAJEDORA,AVERY Weight tr,False
ENTRIS2221,DIG. SCALE,SARTORIUS,False
EQB100/200,DIG. SCALE,TORREY,False
IW2P1U-60F,BASCULA DIG.,SARTORIUS,False
SCB-R9000,BASCULA DIG.,ULTREGA,False
QC-5/10,BASCULA DIG.,TORREY,False
H2321,BASCULA MOVIL (MULA),U-LINE,False
PMC,BASCULA DEGITAL,WIM SYSTEMS,False
SPX2202,BASCULA DIGITAL,OHAUS,False
660,BASCULA,CARBRIDGE SCALE,False
460,PLATAFORMA,GSE,False
0-170 KG,BASCULA,HEALTH METER,False
574,BASCULA,GSE,False
EC50KG,BASCULA,COUNTING SCALE,False
PC-905,DIG. SCALE,AVERY WEIGH,False
MIDRICS,DIG. SACLE,SARTORIUS,False
7600,DIG. SCALE,PENSILVANIA,False
H2331,BASCULAS (MULA),ULINE,False
SIWADCP-2,DIG. SCALE,Sartorius,False
SPX222,EQUIPO DE MEDICION DE RECINA,OHAUS,False
675,BASCULA DIG.,GSE,False
3/8-18 NPT,THD. PLUG GAGE,HEMCO,True
10-24-UNC-,THD. PLUG GAGE,GACO,True
M2 X .4-GH,THD. PLUG GAGE,GSG,False
CLASS ZZ,PIN GAGE,VERMONT GAGE,True
N/,PLUG GAGE,GACO,False
CLASS X,THD. PLUG GAGE,VERMONT GAGE,False
M20.00 X1.,THD PLUG GAGE,VERMONT GAGE,False
ZTOL #2,PIN GAGE GO NO GO,GREENDFIELD,False
M30X145H,THREAD PLUG GO NO GO,GREENFIELD,True
M22X1-4H5H,THREAD PLUG GO NO GO,GREENFIELD,True
M30X1-4H,THREAD PLUG GO NO GO,GAGE ASSY CO.,True
10-24 UNC-,THD. PLUG GAGE,SOUTHESTEN,True
5/16-30,THD. PLUG GAGE,RICKERT,True
9/16-18NF-,PLUG GAGE,RICKERT IND,True
1/4-40 NS-,THD. PLUG GAGE,RICKERT IND.,True
06-34-2,THD PLUG GAGE,HEMCO 1,False
06-34-02,THD PLUG GAGE,HEMCO 2,False
1/4-28 UNS,THD. PLUG GAGE,,True
1/8-27 NPT,TH PLUG GAE,G.A.CO.,False
6-32UNC-2B,THD. PLUG GAGE,GACO,True
4-40,thd. Plug gage,,True
5/8-11NC-2,THD. PLUG GAGE,RICKERT IND,True
.138-32UNC,THD. PLUG GAGE,PMC. IND,True
RC 1 1/4 1,THD. PLUG GAGE,GAGE ASSEMBLY,False
6-32 NC,PLUG GAGE,REPUBLIC,True
1/4-20 NC-,THD. PLUG GAGE,DURPLATE,True
3/8 BSPP,THD. PLUG GAGE,WESTPORT,False
1/2 14 NPS,THD. PLUG GAGE,VERMONT GAGE,True
AD-3,PLUG GAGE,THE SHEFFIELD C,True
M-0 PLUS,SET DE PIN GAGE,MEYER,True
M7 PLUS,SET DE PIN GAGE,MEYER,True
M1,SET DE PINES,MEYER,True
M-2 PLUS,SET DE PIN GAGE,MAYER,True
M-3 PLUS,SET DE PIN GAGE,MAYER,True
M4 PLUS,SET DE PIN GAGE,MAYER,True
1/4-18 NPT,THD. PLUG GAGE,REGAL,True
3/8-16 UNC,THD. PLUG GAGE,REGAL,True
1/4-20 UNC,THD. PLIG GAGE,REGAL,True
1/2-14 NPT,Theread plug Gage,REGAL,True
10-32-UNF,THD. PLUG GAGE,REGAL,True
3-48 UNC-2,THD. PLUG GAGE,REGAL PREMIUM,True
C-10,SET DE PIN GAGE,VERMONT GAGE,True
G-12142,PIN GAGE,,True
G-12143X,PIN GAGE,DUNDICK,True
G-12145,PIN GAGE,DUNDICK,True
M3 PLUS,SET DE  PINES,MEYER,True
ZTOC #2,PIN GAGE GO-NO GO,OTTAWA GAGE INC,True
BM,SET PINES,EKONOGAGE,True
M-0,SET DE PIN GAGE,TRAVERS TOOL,True
RA-726,ROUND TEST,MITUTOYO,False
SJ-201P,RUGOSIMETRO,MITUTOYO,False
5/16 UNF-2,THD. RING GAGE,GAGE ASSEMBLY,False
5/16 UNF-3,THD. RING GAGE,GAGE ASSEMBLY,False
5-40 UNC-,"RING GAGE ""GO NOGO""",GA.CO,False
.099-48UN,RING GAGE,HEMCO,False
.112-40 UN,RING GAGE,HEMCO,False
.164-32 UN,"RING GAGE ""GO NOGO""",HEMCO,False
4-48 UNF,RING GAGE,HEMCO,False
.375-24 U,RING GAGE,HEMCO,False
M4 X.7-4,RING GAGE,PMC INDUSTRIES,False
M30 X 1.0,RING GAGE,HEMCO,True
1-64 UNC-2,THD. PLUG AGE,VTG,False
24J09-2,RING GAGE,GSG,True
ANF183,RING GAGE M15,TAMBURINI,False
3/8-S4 NF2,THDRING GAGE,,False
3/18-24 UN,THRD RING GAGE,The Sheffield,False
516-901,SET DE BLOCK GAGE,MITUTOYO,False
186-906,RADIUS GAGE,MITUTOYO,False
186-901,RADIUS GAGE,MITUTOYO,False
2305,OPTIMIZER,OPTIMIZER,False
GA-12122,FIXTURE,JCI,True
GB-14938,FIXTURE,JCI,True
GB-12296,FIXTURE,JCI,True
516-422,SET DE BLOCK GAGE,MITUTOYO,False
222600,COMPARADOR OPTICO,RANCK PRECISION,False
BROWN & SH,ALTIMETRO (PIE DE REY),"0 A 18""",True
B231,MAQUINA DE CORDENADAS CMM,MITUTOYO,False
407026,LIGHT METER,EXTECH,False
ORBIT XO-5,CMM MAQUINA DE CORDENADAS,WENSEL,False
22-2600,COMPARADOR OPTICO,ST INDUSTRIES,False
IM-6225,IMAGE DIMENCION MEASURING SYSTEM,KEYNCE,False
301,PIEDRA DE GRANITO,ECONOCHECK,False
DH14-MPC,COMPARADOR OPTICO,DELTRONIC,False
40952,GAGE DE RADIOS,CRAFTMAN,False
PH 3500,COMPARADOR OPTICO,MITUTOYO,False
DG 41,ULTRASONIDO,GILARDONI,False
14-1235-4,GAGE DE CONCENTRICID,SOUTHERN GAGE,True
PHCN-37,TRADUCTOR DE PH,OMEGA,True
FSLT-5-HE3,ORIFICIO PRECALIBRADO,Vacuum Tech.,False
FSLT-6-HE,ORIFICIO PRECALIBRADO,Vacuum Tech,False
FSLT-4 HE,LEAK STANDARD,Vcuum Tech,False
HB400,COMPARADOR OPTICO,STARRETT,False
12238,Fuga precalibrada,INFICON,False
D570,MEDIDOR DE FLUJO,ATEQ,False
F570,MEDIDOR DE FLUJO,ATEQ,False
PAX 1,TACOMETRO,RED LION,False
QL30,COMPARADOR OPTICO,OPG,False
GAE00 #1,GAGE DE POSICION,HEMCO,True
1/2-3/4INS,Dig.Bore Gauge,FOWLER,False
1/4-3/4INS,Dig. Bore Gauge,FOWLER,False
3/4-415/16,Dig. Bore Gauge,FOWLER,False
LCM350,CELDA DE FUERZA,FUTEK,False
H-1679,PLATAFORMA MOVIL(MULA),ULINE,False
MP2C,CELDA DE NFUERZA,AEP TRANSDUCER,False
9702001CC6,GAGE DE POSICION,TAMBURINI,False
9702001CC5,GAGE DE CONCENTRICIDAD,TAMBURINI,False
9702001CC4,GAGE DE CONCENTRICIDAD,TAMBURINI,False
9702001CC3,GAGE DE CONCENTRICIDAD,TAMBURINI,False
9702001CC2,GAGE DE CONCENTRICIDAD,TAMBURINI,False
9702001CC1,GAGE DE CONCENTRICIDAD,TAMBURINI,False
12X8¨,PIEDRA DE GRANITO,CDI,False
PEND,plataforma movil MULA,pend,False
RTE-221,BAÑO DE TEMP.,NESLAB,True
2500S,CAMARA DE HUMEDAD,THUNDER SCIENTI,False
2500s,CAMAR DE HUMEDAD,Thunder SCIENTI,False
S2500,CAMARA DE HUMEDAD,THUNDER SCIENTI,False
2500,CAMARA DE HUMEDAD,THUNDER SCIENTI,False
1-160 LBS,MASAS PATRON,Troemner,False
HW 7.8,FIXTURE HOOK,JCI,True
7010,Calibration Unit,Desco,False
ED-250F,TORQUEMETER,JET.CO,True
450AJT,THEMOMETRO DIG.,OMEGA,False
10-25-1A,FLOW WLWMWNT,CME,False
10-5-10A,FLOW ELEMENT,CME,False
10-5-100A,FLOW ELEMENT,CME,False
10-5-.01A,FLOW ELEMENT,CME,False
10-25-566A,FLOW ELEMENT,CME,False
832-99-1,MASSFLOWMETER,SIERRA INSTRUME,True
FA160420,BAROMETRO,WALLACE  TERNAN,False
DA75-3X,DECADA DE RESISTENCIA,GENERAL RSIST.,False
1329,PANEL METER,SIMPSON E,True
RK-100,DEAD WEIGTH TESTER,AMETEK,False
CM-26133,PRESSURE GAGE,HEISE,True
831-L-1,MASSFLOWMETER,SIERRA INS,True
831-14-1,MASSFLOWMETER,SIERRA INSTRUME,True
RH411,DIG. THER. HYGROMETRO,NEWPORT,False
80K-6 HV,PUNTA DE ALTO VOLTAGE,FLUKE,False
516-313,Cera Gage Block Set,MITUTOYO,False
C,SUPERMICROMETRO,PRATT&WITNEY,False
TPI-14,SET DE ALAMBRES,LEDFORD MACHINE,True
TPI-32,SET DE ALAMBRES,LEDFOR MACHINE,True
TPI-48,SET DE ALAMBRES,LEDFOD MACHINE,True
TPI-56,WIRE,LEDFOR MACHINE,True
TPI-18,WIRE,LEDFOR MACHINE,True
TPI-40,WIRE,GLASTONBURY,True
TPI-20,WIRE,LEDORMACHINE,True
TPI-28,WIRE,LEDFOR MACHINE,True
TPI-30,WIRE,LEDFOR MACHINE,True
TPI-16,WIRES,LEDFORD MACHINE,True
TPI-13,WIRES,LEDFORD MACHINE,True
CL477,CALIB. INDICADOR,OMEGA,False
RH92,HYGRO THERMOMETER,OMEGA,False
MPC-851,SUPER MICROMETRO,PRATT &WHITNEY,False
822-13-0V1,MASSFLOW METER,SIERRA INST.INC,True
1G-1P-10,PIEDRA GRANITO,HERMAN SURFACE,False
7268-G33,THD PLUG GAGE,SIZE CONTROL CO,True
822-H-4-0V,MASS FLOW METER,SIERRA INS.,False
PCL 3000 D,MANOMETRO DIGITAL,OMEGA ING.,False
N/A\,PLUG GAGE,PMC INDUSTRIES,True
ETV-DS7-10,DC electric Nutrunner,ATLAS COPCO,False
ETD-DS9-45,DC electric Nutrunner,ATLAS COPCO,False
ETD ST101-,TORQUE METER,ATLAS COPCO,False
EP 6PTX19R,DC electric Nutrunner,ATLAS COPCO,False
ETD-DL21-0,DC electric Nutrunner,ATLAS COPCO,False
EP-6PTX19,DC electric Nutrunner,ATLAS COPCO,False
EP 6PTX19,DC electric Nutrunner,ATLAS COPCO,False
EDT-DL21,TORQUE,DC ELECTRIC NUT,False
ES90P,TORQUE,Ingersoll-Rand,False
55W,TORQUE DRIVE,KILEWS,False
MTBN2,TORQUE DRIVE,MOUNTZ,False
LTC 750I,TORQUE DRIVE,STURTEVANT,False
LTC 300I,TORQUE DRIVE,STURTEVANT,False
LTC-300I,TORQUE DRIVE,STURTEVANT,False
LTC-150I,TORQUE DRIVE,STURTEVANT,False
LTC 50I,Torque Driver,Sturtevant,False
EP 8PTX45,Desarmador Neumatico,ATLAS COPCO,False
ETD-S9-270,DC electric Nutrunner,ATLAS COPCO,False
ETDS9-270-,TORQUE,ATLAS COPCO,False
ETD S9-100,DC electric Nutrunner,ATLAS COPCO,False
ETD DS9-,DC electric Nutrunner,ATLAS COPCO,False
ETP-S7-20,DC electric Nutrunner,ATLAS COPCO,False
ETD-DS9-15,DC electric Nutrunner,ATLAS COPCO,False
ETDST101-7,TORQUEMETER ATLAS,ATLAS COPCO,False
EDT-S4-04,DC electric Nutrunner,ATLAS COPCO,False
ETD-DL21,DC electric Nutrunner,ATLAS COPCO,False
ETD-DL21-,DC electric Nutrunner,ATLAS COPCO,False
SE-10523,TORQUE ATLAS COPCO,ATLAS COPCO,False
